##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	HU1_MOCK1_L001_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	40237621
Sequences flagged as poor quality	0
Sequence length	50-151
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.27759638175428	37.0	37.0	37.0	37.0	37.0
2	36.30644045779943	37.0	37.0	37.0	37.0	37.0
3	36.4882655960202	37.0	37.0	37.0	37.0	37.0
4	36.547357732704924	37.0	37.0	37.0	37.0	37.0
5	36.590776701236884	37.0	37.0	37.0	37.0	37.0
6	36.61670788141277	37.0	37.0	37.0	37.0	37.0
7	36.617831879275364	37.0	37.0	37.0	37.0	37.0
8	36.62523390734258	37.0	37.0	37.0	37.0	37.0
9	36.62688581911937	37.0	37.0	37.0	37.0	37.0
10-14	36.62734192958376	37.0	37.0	37.0	37.0	37.0
15-19	36.615235060740794	37.0	37.0	37.0	37.0	37.0
20-24	36.597634785615185	37.0	37.0	37.0	37.0	37.0
25-29	36.5562122223876	37.0	37.0	37.0	37.0	37.0
30-34	36.53362714460678	37.0	37.0	37.0	37.0	37.0
35-39	36.51225710883852	37.0	37.0	37.0	37.0	37.0
40-44	36.49680165733456	37.0	37.0	37.0	37.0	37.0
45-49	36.47735235142257	37.0	37.0	37.0	37.0	37.0
50-54	36.456226128793865	37.0	37.0	37.0	37.0	37.0
55-59	36.431406937772834	37.0	37.0	37.0	37.0	37.0
60-64	36.41141707843285	37.0	37.0	37.0	37.0	37.0
65-69	36.38156007556721	37.0	37.0	37.0	37.0	37.0
70-74	36.356592297586	37.0	37.0	37.0	37.0	37.0
75-79	36.33532526684586	37.0	37.0	37.0	37.0	37.0
80-84	36.31183039763452	37.0	37.0	37.0	37.0	37.0
85-89	36.31064715383689	37.0	37.0	37.0	37.0	37.0
90-94	36.2875373264396	37.0	37.0	37.0	37.0	37.0
95-99	36.25619597853521	37.0	37.0	37.0	37.0	37.0
100-104	36.230820848487475	37.0	37.0	37.0	37.0	37.0
105-109	36.172018843738314	37.0	37.0	37.0	37.0	37.0
110-114	36.166753714428935	37.0	37.0	37.0	37.0	37.0
115-119	36.1113558741092	37.0	37.0	37.0	37.0	37.0
120-124	36.07102953275232	37.0	37.0	37.0	37.0	37.0
125-129	36.028475412737116	37.0	37.0	37.0	37.0	37.0
130-134	35.96169514807729	37.0	37.0	37.0	37.0	37.0
135-139	35.89312651374006	37.0	37.0	37.0	37.0	37.0
140-144	35.809575283190824	37.0	37.0	37.0	37.0	37.0
145-149	35.74944292113513	37.0	37.0	37.0	37.0	37.0
150-151	35.53504622236993	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.01910230776564248
1101	2	0.05445280405231756
1101	3	-0.06063112280345706
1101	4	-0.012028280112104994
1101	5	0.051511597682008414
1101	6	0.04220338439043303
1101	7	0.06465637150618875
1101	8	0.05370252054621716
1101	9	-0.038945198458179675
1101	10-14	0.013192304122028986
1101	15-19	0.009175202990377329
1101	20-24	0.011223513121940698
1101	25-29	-0.01298874758740709
1101	30-34	0.012508433056382273
1101	35-39	-0.020507410029580342
1101	40-44	-0.002804835885122259
1101	45-49	0.005182841253123627
1101	50-54	-0.04341455205761946
1101	55-59	-0.03174307280536226
1101	60-64	-0.03641152306832396
1101	65-69	-0.08333120476522993
1101	70-74	-0.023368141520336394
1101	75-79	-0.023635033713802045
1101	80-84	-0.036221849804540796
1101	85-89	-0.030095252128724326
1101	90-94	-0.08907530765723948
1101	95-99	-0.09118213175606371
1101	100-104	-0.08378175288903833
1101	105-109	-0.046224027177174776
1101	110-114	-0.11854907912696433
1101	115-119	-0.16509572412611817
1101	120-124	-0.10690262129506323
1101	125-129	-0.13769069079936003
1101	130-134	-0.13564519408669184
1101	135-139	-0.1881256527602133
1101	140-144	-0.05330705896467691
1101	145-149	-0.05059447247791127
1101	150-151	-0.02776448445807489
1102	1	0.06275436435176118
1102	2	0.12153420943552362
1102	3	0.14042384117156814
1102	4	-0.019676504371751946
1102	5	0.06938214648747731
1102	6	0.004233651694981688
1102	7	0.07253162454483686
1102	8	0.07633402896603059
1102	9	-0.00623970326657286
1102	10-14	0.0296461441261755
1102	15-19	0.02596398735031613
1102	20-24	0.00937119208184356
1102	25-29	-0.01039438082973021
1102	30-34	-0.02501202875830444
1102	35-39	-0.045748765001320635
1102	40-44	-0.017452794231921587
1102	45-49	-0.038889215835574475
1102	50-54	-0.04841572502780167
1102	55-59	-0.012257814895605179
1102	60-64	-0.05804014120965917
1102	65-69	-0.08591282326726457
1102	70-74	-0.077979497071901
1102	75-79	-0.09346612595266635
1102	80-84	-0.08252103192602078
1102	85-89	-0.05213008828192045
1102	90-94	-0.09019025103300748
1102	95-99	-0.12508920080419017
1102	100-104	-0.10717975584805828
1102	105-109	-0.07369262552710154
1102	110-114	-0.14223037416754636
1102	115-119	-0.05003596625897444
1102	120-124	-0.03013172275270648
1102	125-129	-0.13010186298843962
1102	130-134	-0.036078383466353614
1102	135-139	-0.10398518578818283
1102	140-144	-0.07469071476459277
1102	145-149	-0.05716642043915954
1102	150-151	0.007430885551251265
1103	1	0.11722230912517517
1103	2	0.09754610241299844
1103	3	0.019193089547563602
1103	4	0.03210748156737253
1103	5	0.0011235837112479885
1103	6	-0.006374250781348678
1103	7	0.07138754788770996
1103	8	0.07183278838021323
1103	9	0.02307143906862308
1103	10-14	0.03452634422647094
1103	15-19	0.016005173263131667
1103	20-24	0.015472155969746382
1103	25-29	1.4537547117754457E-4
1103	30-34	-0.014644047274501304
1103	35-39	-0.010834780342733552
1103	40-44	-0.054596064942266764
1103	45-49	-0.025636327169038964
1103	50-54	-0.0359387193768228
1103	55-59	-0.07041043678209036
1103	60-64	-0.018352089950234074
1103	65-69	-0.07728860897083223
1103	70-74	-0.04111924702958447
1103	75-79	-0.03431766364855804
1103	80-84	-0.0983388538873271
1103	85-89	-0.040491463709258824
1103	90-94	-0.06937603820068006
1103	95-99	-0.08818910566098026
1103	100-104	-0.09780675422823037
1103	105-109	-0.028991164780038048
1103	110-114	-0.11370813146844228
1103	115-119	-0.09537523108910761
1103	120-124	-0.054711381918643553
1103	125-129	-0.12854840738380346
1103	130-134	-0.06692975674422996
1103	135-139	-0.13384725507446404
1103	140-144	-0.008505238020717343
1103	145-149	0.004545214672226905
1103	150-151	0.0810568377340033
1104	1	0.04961432018776435
1104	2	0.027621257838248425
1104	3	-0.06401323817929949
1104	4	0.05964093017395555
1104	5	0.020467164061940935
1104	6	-0.005280749595584666
1104	7	0.033807557136910305
1104	8	0.031578275979228465
1104	9	0.05082586603982975
1104	10-14	0.010457927502287134
1104	15-19	0.015289841237446922
1104	20-24	0.0017077097939264263
1104	25-29	-0.004405867589078127
1104	30-34	-0.013006073623330394
1104	35-39	-0.012701933617435657
1104	40-44	-0.022540988932547634
1104	45-49	-0.03786212605139383
1104	50-54	-0.02350503720553121
1104	55-59	-0.03673737135566313
1104	60-64	-0.062259911711848304
1104	65-69	-0.07841202462048358
1104	70-74	-0.04197261889886761
1104	75-79	-0.038906829056834624
1104	80-84	-0.04870355320583286
1104	85-89	-0.08998756826884602
1104	90-94	-0.07062474400999008
1104	95-99	-0.10475902533636372
1104	100-104	-0.08191547834938717
1104	105-109	-0.04864103582080759
1104	110-114	-0.05305555343423407
1104	115-119	-0.09232402924838112
1104	120-124	-0.014287259078876957
1104	125-129	-0.007942135057625421
1104	130-134	-0.03603729919768739
1104	135-139	-0.0823380666718947
1104	140-144	0.029361719521702412
1104	145-149	-0.004872218289143859
1104	150-151	0.03063754967184451
1105	1	-0.01185892561208135
1105	2	0.061669533926156817
1105	3	0.02199411577104371
1105	4	0.026279645324450485
1105	5	0.06850818948362303
1105	6	0.03509051912154604
1105	7	0.05814979985906632
1105	8	0.038490838626358936
1105	9	0.013816252172347276
1105	10-14	0.06268691712910623
1105	15-19	0.026032300297295308
1105	20-24	0.026110647121186048
1105	25-29	0.010297257721340713
1105	30-34	0.0010291437074130272
1105	35-39	0.0031075954112651516
1105	40-44	0.04806616915465867
1105	45-49	0.015447689286943955
1105	50-54	0.0077595654960020966
1105	55-59	-0.021577687148791824
1105	60-64	-0.006302186568056811
1105	65-69	-0.019575627760218595
1105	70-74	-0.029653933480972228
1105	75-79	-0.0714503874985013
1105	80-84	-0.036033528506187906
1105	85-89	-0.03261623989271101
1105	90-94	-0.031458900608356544
1105	95-99	-0.051564249953194974
1105	100-104	0.020928749771357502
1105	105-109	-0.017572244624098232
1105	110-114	-0.02028455102627902
1105	115-119	-0.019384762492961727
1105	120-124	0.016288362958469804
1105	125-129	0.006964388009066624
1105	130-134	-0.00937423019050243
1105	135-139	-0.004633369972758317
1105	140-144	0.03790903565902681
1105	145-149	0.08539797856048637
1105	150-151	0.15104078896163742
1106	1	0.006706976380364438
1106	2	0.06332044850739038
1106	3	-0.012653595437996046
1106	4	-0.02469765435298399
1106	5	0.02037292369242749
1106	6	0.02011560958892744
1106	7	0.020915276967080842
1106	8	-0.007083495952159069
1106	9	0.03373328148472865
1106	10-14	-0.017120905246130746
1106	15-19	-0.0035670267857668136
1106	20-24	-0.009424955696729853
1106	25-29	-0.034761641658235476
1106	30-34	-0.003175469143613441
1106	35-39	-0.011899099539029123
1106	40-44	-0.07908120882015623
1106	45-49	-0.017945294721400273
1106	50-54	-0.05918997949549265
1106	55-59	-0.010185602828940432
1106	60-64	-0.06321733700490739
1106	65-69	-0.041606105884994804
1106	70-74	-0.02287068740321274
1106	75-79	-0.01070787241234683
1106	80-84	-0.009817310779489219
1106	85-89	-0.03935789907013998
1106	90-94	-0.019444775382204682
1106	95-99	-0.04247884136120916
1106	100-104	-0.01563132595085648
1106	105-109	-0.044332131208726366
1106	110-114	-0.08336624578667085
1106	115-119	-0.04746216862557162
1106	120-124	-0.01670183746565357
1106	125-129	-0.09810757677689708
1106	130-134	-0.01734167840999845
1106	135-139	-0.015993797924757303
1106	140-144	-0.013059653005399241
1106	145-149	0.06871835795042358
1106	150-151	0.048035824385124215
1107	1	0.08140083367521811
1107	2	0.08086772969748068
1107	3	0.03513867205661114
1107	4	0.026515684953899665
1107	5	0.028268939029977957
1107	6	-0.03329079782173494
1107	7	-0.011110333371782133
1107	8	-0.008735013549816983
1107	9	0.01274826156278408
1107	10-14	-0.017778552041264106
1107	15-19	-0.004299575214986362
1107	20-24	-0.015423554182923738
1107	25-29	-0.035561852805713556
1107	30-34	-0.022868889864675168
1107	35-39	-0.0016856609768964859
1107	40-44	0.017566178117803588
1107	45-49	-0.01014425594941315
1107	50-54	-0.0069356465944139245
1107	55-59	-0.0151491160858086
1107	60-64	3.409970443470911E-4
1107	65-69	-0.0656506250261657
1107	70-74	0.015477162468968686
1107	75-79	-0.023477812298366985
1107	80-84	0.007764884268958383
1107	85-89	-0.02251539284684867
1107	90-94	-0.03425658675516985
1107	95-99	-0.008864599966713627
1107	100-104	0.018752990797594293
1107	105-109	0.01684306407764069
1107	110-114	-0.010224475167376568
1107	115-119	-0.021326233686600915
1107	120-124	-0.020452218270733624
1107	125-129	0.011273986529374724
1107	130-134	0.0247260796913622
1107	135-139	0.08173678019323916
1107	140-144	0.03567815356544202
1107	145-149	0.12378747104354204
1107	150-151	0.1090936779696392
1108	1	-0.023609707075841868
1108	2	0.09850152334106355
1108	3	0.06626471297457215
1108	4	0.004652272637613919
1108	5	0.0677859075555105
1108	6	0.006013078691445628
1108	7	0.021109092972494636
1108	8	0.021697189465001543
1108	9	0.016526348572206473
1108	10-14	-0.011938198342896555
1108	15-19	0.011471038107643494
1108	20-24	-0.021584233293424404
1108	25-29	-0.0016982669225455993
1108	30-34	0.012152309783211024
1108	35-39	-0.01562445631104481
1108	40-44	-0.02506030122837899
1108	45-49	-0.029306469236480837
1108	50-54	-0.01788575082678534
1108	55-59	-0.06003130619756547
1108	60-64	-0.024920924993317328
1108	65-69	-0.019379714731194042
1108	70-74	0.005825461113033725
1108	75-79	0.007180659776466314
1108	80-84	0.0219222679508988
1108	85-89	0.048909510544561385
1108	90-94	-0.046139480097544094
1108	95-99	0.009691808647296796
1108	100-104	0.024543199182495812
1108	105-109	0.07544498334421235
1108	110-114	0.01728436512850351
1108	115-119	0.006944015822419658
1108	120-124	0.03926462508275819
1108	125-129	0.03138711443330777
1108	130-134	0.06013593904338421
1108	135-139	0.01980768969296065
1108	140-144	0.030598725039851615
1108	145-149	0.14417350973250365
1108	150-151	0.1335197196679232
1109	1	0.13318228605748317
1109	2	0.06569544645662972
1109	3	0.08168582162549853
1109	4	0.052731298905868584
1109	5	0.0026720880222725896
1109	6	0.01153980558812151
1109	7	-0.005693366477522943
1109	8	-0.015615153845757845
1109	9	-0.0028246421529019017
1109	10-14	0.011125777940996784
1109	15-19	0.03789622442912588
1109	20-24	0.012658843258016361
1109	25-29	0.01570273155658697
1109	30-34	0.0018522589950151769
1109	35-39	0.0010888730575828731
1109	40-44	-0.038871080864076646
1109	45-49	-0.0401886082768641
1109	50-54	0.017417319672723863
1109	55-59	-0.042859897365360666
1109	60-64	-0.03576323985607388
1109	65-69	-0.020743221401176015
1109	70-74	-0.05220256515351451
1109	75-79	-0.020244583880440814
1109	80-84	-0.04170921907189751
1109	85-89	-0.04049873160975892
1109	90-94	-0.094241119963975
1109	95-99	0.0025239805537964344
1109	100-104	-0.019276782150910776
1109	105-109	0.024720914726749754
1109	110-114	6.278669436312612E-4
1109	115-119	-0.01109697206147331
1109	120-124	0.0057302359409519
1109	125-129	-0.03370100781174301
1109	130-134	1.6660979911620188E-4
1109	135-139	-0.036615422867939174
1109	140-144	-0.05235596517799479
1109	145-149	0.111084558697641
1109	150-151	0.21121901008326915
1110	1	0.04685450843121686
1110	2	0.046079241420613926
1110	3	0.07663153913087228
1110	4	0.03349419774637141
1110	5	0.018336173283259427
1110	6	-0.012712381894480984
1110	7	0.03775218060701491
1110	8	-3.53179586589647E-4
1110	9	0.005706487079152112
1110	10-14	0.021370231293566633
1110	15-19	-0.014479673767176848
1110	20-24	-0.008303144736935053
1110	25-29	-0.014304836199855231
1110	30-34	-0.02430935177025617
1110	35-39	-0.03698758930208612
1110	40-44	-0.03949967662246934
1110	45-49	-0.019542630464066235
1110	50-54	-0.020177748919479654
1110	55-59	-0.05430027877915933
1110	60-64	-0.06224596292391027
1110	65-69	-0.06765151835332972
1110	70-74	-0.04576054961097498
1110	75-79	-0.06222748626871066
1110	80-84	-0.015587125258974766
1110	85-89	-0.054790041611539664
1110	90-94	-0.06696103347068316
1110	95-99	-0.09781602192871475
1110	100-104	-0.08588121931192205
1110	105-109	-0.01717505262989505
1110	110-114	-0.044896819607600946
1110	115-119	-0.02108366372427639
1110	120-124	0.02328369754435755
1110	125-129	-0.07553675645677771
1110	130-134	0.014293605957341526
1110	135-139	0.014704599046048372
1110	140-144	0.041686408751886006
1110	145-149	0.08112235920280852
1110	150-151	0.13435321701663838
1111	1	0.0199573439613161
1111	2	0.12655071813726693
1111	3	0.027863873912629344
1111	4	0.08177811703810534
1111	5	-0.09133466169741666
1111	6	-0.037374050544144666
1111	7	-0.04608494516816819
1111	8	-0.05634674737753187
1111	9	0.07963382836055644
1111	10-14	0.029776923117374565
1111	15-19	0.009963760101904029
1111	20-24	0.010484709302161832
1111	25-29	-0.0068064495112381
1111	30-34	-0.03187142945544963
1111	35-39	-0.050126248697559106
1111	40-44	-0.03452510909200868
1111	45-49	-0.028335935422916236
